Age,Sex,Race,Zip Code,# years in Zip Code,Living Arrangement,# of housing units,Communte to school (hours),Household income,Education,How often you spend\nleisure time with family,How often you spend leisure time with friends,How often you spend leisure time with neighbors,How often you spend leisure time with coworkers,# family members you spend time with regularly within 15 minutes (driving),# friends you spend time with regularly within 15 minutes (driving),# neighbors you spend time with regularly within 15 minutes (driving),#  coworkers you spend time with regularly within 15 minutes (driving),"Level of agreement with: ""I consider myself a social person""","Level of agreement with: ""When I have free time, I generally like to spend it with other people""","Level of agreement with: ""I feel like I have a strong social circle in my geographic proximity.""","Level of agreement with: ""The place where I live has a strong sense of community""","Level of agreement with: ""I am interested in being a part of or helping build community where I live.""","Level of agreement with: ""I would be sorry to move away from the people I spend time with here."""
31,Female,White (non-hispanic),48185,4,"With spouse, significant other, and/or children",5+,0.5,115,Four-year college,Less often,About once a month,Less often,About once a month,0,1,0,1,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree
31,Female,White (non-hispanic),47331,2,"With spouse, significant other, and/or children",1,0.1,40,High school,A few times a month,About once a month,Less often,Less often,5,0,0,0,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
31,Female,"White (non-hispanic),Hispanic",92345,29,With other family,1,0,30,Four-year college,Less often,Less often,About once a month,Less often,0,0,4,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
31,Male,White (non-hispanic),38134,9,Living alone,1,0.1,70,Four-year college,A few times a month,At least once a week,A few times a month,At least once a week,2,2,2,4,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
31,Male,White (non-hispanic),92707,3,"With spouse, significant other, and/or children",5+,0,4,Some college/associate's degree,Less often,About once a month,Less often,Less often,0,2,0,0,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree
31,Female,White (non-hispanic),99336,10,With roommates,2,0.5,29,Four-year college,About once a month,At least once a week,At least once a week,Daily,2,5,2,6,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
30,Female,"White (non-hispanic),Hispanic,Black or African American",32839,6,"With spouse, significant other, and/or children",5+,1,37,High school,Less often,At least once a week,Daily,At least once a week,0,2,1,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
30,Male,Asian,91406,29,With other family,1,0.7,63,Four-year college,Daily,Less often,Less often,Less often,2,3,6,0,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree
30,Male,Black or African American,63110,8,Living alone,5+,0,27,Some college/associate's degree,Less often,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree
30,Female,Asian,94105,30,With other family,2,0,350,Four-year college,At least once a week,At least once a week,Less often,Less often,5,4,0,0,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
30,Male,White (non-hispanic),8527,25,With other family,1,0,99,Some college/associate's degree,A few times a month,At least once a week,Less often,A few times a month,0,0,3,0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
30,Female,White (non-hispanic),6903,30,"With spouse, significant other, and/or children",1,0.3,104,Four-year college,A few times a month,At least once a week,About once a month,At least once a week,4,3,2,3,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
30,Female,Hispanic,60452,1,"With spouse, significant other, and/or children",1,0,56,Four-year college,At least once a week,A few times a month,Less often,Less often,0,2,0,0,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree
30,Female,White (non-hispanic),12047,12,"With spouse, significant other, and/or children",2,0.8,134,Four-year college,A few times a month,About once a month,About once a month,About once a month,1,1,1,2,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
30,Male,White (non-hispanic),30511,0,With other family,1,0.2,25,Some college/associate's degree,Less often,About once a month,Less often,About once a month,0,0,3,2,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
30,Male,White (non-hispanic),24502,5,"With spouse, significant other, and/or children",1,0,83,Master's or post-graduate professional degree,About once a month,A few times a month,Less often,Less often,0,10,2,3,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree
30,Male,"Asian,Native Hawaiian or Other Pacific Islander,Other",96746,30,With other family,1,0,60,High school,Less often,About once a month,Less often,Less often,0,2,0,0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
30,Male,White (non-hispanic),53213,1,"With spouse, significant other, and/or children",1,0.2,105,Some college/associate's degree,Less often,At least once a week,About once a month,A few times a month,0,50,10,10,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
30,Female,White (non-hispanic),70809,1,"With spouse, significant other, and/or children",1,0.2,100,Four-year college,A few times a month,Less often,Less often,Less often,6,1,0,1,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree
30,Male,White (non-hispanic),36606,6,Living alone,1,0.1,135,Four-year college,At least once a week,At least once a week,Less often,Less often,5,8,0,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
30,Female,White (non-hispanic),85021,3,"With spouse, significant other, and/or children",1,0,64,Four-year college,Daily,A few times a month,About once a month,At least once a week,2,1,5,1,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
30,Female,Asian,98052,6,"With spouse, significant other, and/or children",1,0,200,Master's or post-graduate professional degree,Less often,At least once a week,Less often,About once a month,50,10,30,30,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
30,Female,White (non-hispanic),64862,7,"With spouse, significant other, and/or children",1,0,100,Some college/associate's degree,A few times a month,Less often,Less often,Less often,0,0,0,0,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree
30,Female,White (non-hispanic),30701,30,"With spouse, significant other, and/or children",1,0,89,Four-year college,Less often,At least once a week,Less often,Less often,3,3,1,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree
30,Female,White (non-hispanic),29154,6,"With spouse, significant other, and/or children",1,0.4,48,Some college/associate's degree,Less often,A few times a month,Less often,At least once a week,3,2,1,3,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
30,Male,White (non-hispanic),54911,5,Living alone,4,0,23,High school,About once a month,At least once a week,Less often,Less often,3,2,0,0,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree
30,Male,White (non-hispanic),49036,30,"With spouse, significant other, and/or children",1,0.5,111,Four-year college,Less often,About once a month,Less often,A few times a month,2,1,1,3,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
30,Female,Black or African American,10013,3,"With spouse, significant other, and/or children",3,0.5,100,Four-year college,Less often,A few times a month,About once a month,A few times a month,0,5,0,1,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree
30,Male,Hispanic,17104,3,"With spouse, significant other, and/or children",1,0.8,30,Some college/associate's degree,Less often,At least once a week,Less often,Less often,1,1,0,0,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
30,Male,White (non-hispanic),32909,5,With other family,1,0.3,26,High school,Daily,At least once a week,Less often,Less often,3,1,2,4,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
30,Male,Black or African American,77001,11,"With spouse, significant other, and/or children",4,1.5,77,Four-year college,About once a month,At least once a week,A few times a month,A few times a month,2,4,1,1,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
30,Male,White (non-hispanic),14223,7,Living alone,1,,76,Four-year college,At least once a week,A few times a month,A few times a month,At least once a week,0,5,4,3,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
30,Female,Black or African American,11236,24,With other family,1,0,60,Master's or post-graduate professional degree,Less often,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree
30,Female,White (non-hispanic),33549,5,"With spouse, significant other, and/or children",1,0.5,180,High school,At least once a week,A few times a month,Less often,Less often,8,0,0,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
30,Female,White (non-hispanic),75098,19,With other family,1,0.5,32,High school,A few times a month,About once a month,Less often,Less often,2,2,0,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
30,Male,White (non-hispanic),45305,2,With other family,1,0.1,145,Master's or post-graduate professional degree,About once a month,At least once a week,About once a month,A few times a month,5,10,2,5,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
30,Male,White (non-hispanic),77066,30,"With spouse, significant other, and/or children",1,0,388,High school,Less often,A few times a month,A few times a month,Less often,2,3,4,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
30,Female,White (non-hispanic),80205,1,"With spouse, significant other, and/or children",5+,0.3,32,Some college/associate's degree,Less often,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree
30,Female,White (non-hispanic),71119,1,With roommates,1,0.2,76,Master's or post-graduate professional degree,Less often,Daily,Less often,Daily,0,4,0,15,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree
30,Male,White (non-hispanic),75501,1,"With spouse, significant other, and/or children",3,0.2,75,Master's or post-graduate professional degree,A few times a month,A few times a month,Less often,A few times a month,0,3,0,2,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree
30,Female,White (non-hispanic),55433,2,"With spouse, significant other, and/or children",1,,80,Four-year college,Less often,About once a month,Less often,Less often,0,2,2,0,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree
30,Female,White (non-hispanic),49015,8,"With spouse, significant other, and/or children",5+,,56,Some college/associate's degree,A few times a month,A few times a month,At least once a week,Less often,0,3,5,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree
30,Female,White (non-hispanic),54487,28,"With spouse, significant other, and/or children",1,0.1,91,Some college/associate's degree,At least once a week,A few times a month,Less often,Daily,15,6,8,2,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
30,Female,Hispanic,90066,20,With other family,5+,0,35,Four-year college,Less often,Less often,Less often,Less often,0,0,0,0,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
29,Male,Asian,7304,4,Living alone,5+,0.6,60,Four-year college,At least once a week,At least once a week,Less often,Daily,4,5,1,2,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
29,Male,Hispanic,92377,22,With other family,1,0,94,High school,Less often,At least once a week,Less often,At least once a week,0,1,1,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
29,Male,White (non-hispanic),46825,29,With other family,1,0,107,Four-year college,At least once a week,About once a month,A few times a month,Less often,3,0,2,0,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
29,Male,Black or African American,8094,10,Living alone,1,0.5,50,Four-year college,A few times a month,At least once a week,Less often,Less often,4,2,0,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
29,Female,Black or African American,23901,2,Living alone,5+,0.2,36,Master's or post-graduate professional degree,A few times a month,About once a month,Less often,Less often,2,2,0,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
29,Male,White (non-hispanic),10471,9,Living alone,1,1,80,Four-year college,Daily,At least once a week,A few times a month,At least once a week,3,0,5,0,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
29,Male,White (non-hispanic),85301,10,"With spouse, significant other, and/or children",1,0,42,Four-year college,A few times a month,A few times a month,About once a month,About once a month,4,2,8,0,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
29,Male,Asian,77036,29,"With spouse, significant other, and/or children",1,0,150,Four-year college,At least once a week,About once a month,Less often,Less often,1,1,1,0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
29,Female,White (non-hispanic),61523,3,"With spouse, significant other, and/or children",1,0,15,High school,About once a month,A few times a month,Less often,Less often,0,1,0,0,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
29,Female,White (non-hispanic),43202,10,"With spouse, significant other, and/or children",1,0,51,Four-year college,Less often,About once a month,About once a month,Less often,2,5,3,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree
29,Female,White (non-hispanic),38069,7,"With spouse, significant other, and/or children",1,0.4,62,Master's or post-graduate professional degree,Daily,A few times a month,At least once a week,Daily,0,2,5,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree
29,Male,White (non-hispanic),98424,6,"With spouse, significant other, and/or children",4,1.1,184,High school,A few times a month,A few times a month,About once a month,About once a month,0,0,0,0,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
29,Male,"White (non-hispanic),Hispanic",10701,3,"With spouse, significant other, and/or children",5+,0,29,Four-year college,A few times a month,About once a month,Less often,At least once a week,0,0,100,1,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
29,Male,White (non-hispanic),80504,12,With roommates,1,0.2,36,High school,Less often,A few times a month,Less often,Less often,0,2,0,0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
29,Female,Black or African American,77303,1,"With spouse, significant other, and/or children",1,1.5,124,Some college/associate's degree,About once a month,At least once a week,Less often,Less often,5,2,1,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
29,Female,White (non-hispanic),61072,25,"With spouse, significant other, and/or children",1,0,74,Master's or post-graduate professional degree,At least once a week,A few times a month,About once a month,A few times a month,6,0,0,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree
29,Female,White (non-hispanic),49053,3,"With spouse, significant other, and/or children",1,0.1,92,Four-year college,A few times a month,At least once a week,Less often,About once a month,2,3,0,2,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree
29,Female,"White (non-hispanic),Black or African American",85016,1,Living alone,5+,0,44,Master's or post-graduate professional degree,Less often,At least once a week,Less often,Less often,0,2,0,0,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
28,Female,White (non-hispanic),13126,6,"With spouse, significant other, and/or children",1,0.1,85,Four-year college,About once a month,A few times a month,Less often,Daily,6,6,0,3,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
28,Male,White (non-hispanic),48111,3,Living alone,1,0.1,20,Some college/associate's degree,Daily,Daily,Daily,Daily,0,1,2,2,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree
28,Male,White (non-hispanic),12078,28,Living alone,1,0,6,Four-year college,Less often,Less often,Less often,Less often,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
28,Female,Asian,92120,26,"With spouse, significant other, and/or children",1,0.5,93,Four-year college,At least once a week,At least once a week,A few times a month,Daily,6,4,5,5,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
28,Female,"White (non-hispanic),Hispanic",79601,25,"With spouse, significant other, and/or children",5+,0,31,Four-year college,A few times a month,Less often,Less often,Less often,2,0,0,0,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
28,Male,White (non-hispanic),50701,1,Living alone,5+,0.1,65,Four-year college,A few times a month,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree
28,Female,"White (non-hispanic),Hispanic",92227,28,With other family,2,0,12,Four-year college,At least once a week,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree
28,Male,White (non-hispanic),90746,10,Living alone,1,1.5,42,Four-year college,About once a month,A few times a month,Less often,Daily,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
28,Female,Black or African American,77084,3,Living alone,5+,,79,Four-year college,About once a month,Less often,Less often,Daily,2,4,3,7+,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
28,Female,White (non-hispanic),17740,3,"With spouse, significant other, and/or children",1,1,77,Some college/associate's degree,At least once a week,At least once a week,At least once a week,About once a month,7,2,1,3,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree
28,Male,White (non-hispanic),91331,20,With other family,3,1.7,51,Master's or post-graduate professional degree,About once a month,A few times a month,About once a month,About once a month,1,2,1,2,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree
28,Female,White (non-hispanic),82072,28,Living alone,1,0.1,52,Master's or post-graduate professional degree,At least once a week,At least once a week,At least once a week,Daily,2,5,2,25,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
28,Female,White (non-hispanic),24251,13,"With spouse, significant other, and/or children",4,0,59,High school,At least once a week,Less often,At least once a week,Less often,12,3,8,0,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
28,Male,Black or African American,23927,19,With other family,1,0,15,Some college/associate's degree,Less often,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
28,Female,White (non-hispanic),66502,2,Living alone,2,0.1,49,Master's or post-graduate professional degree,Less often,A few times a month,Less often,Daily,0,10,2,0,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
28,Female,Asian,29466,13,"With spouse, significant other, and/or children",1,0.9,117,Four-year college,A few times a month,At least once a week,About once a month,Less often,2,5,1,2,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
28,Female,White (non-hispanic),11953,3,"With spouse, significant other, and/or children",5+,0.5,150,Four-year college,At least once a week,About once a month,Less often,Less often,2,4,0,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
28,Male,Black or African American,11788,5,"With spouse, significant other, and/or children",5+,0.3,92,Four-year college,At least once a week,Less often,Less often,About once a month,5,7,0,3,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
28,Female,Black or African American,92618,3,"With spouse, significant other, and/or children",3,0,99,Four-year college,A few times a month,At least once a week,About once a month,A few times a month,2,1,2,4,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
27,Female,White (non-hispanic),24228,1,"With spouse, significant other, and/or children",1,0.5,58,Some college/associate's degree,At least once a week,A few times a month,Less often,At least once a week,5,0,0,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
27,Female,White (non-hispanic),11237,3,With roommates,5+,0,25,Some college/associate's degree,Less often,About once a month,Less often,Less often,0,0,0,0,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree
27,Male,Black or African American,43211,2,With other family,1,0.5,24,Some college/associate's degree,About once a month,At least once a week,A few times a month,A few times a month,2,4,5,1,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
27,Female,White (non-hispanic),33917,2,"With spouse, significant other, and/or children",2,0,17,High school,Less often,Less often,At least once a week,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
27,Male,Asian,1342,3,With other family,1,0,250,Some college/associate's degree,Less often,Daily,Less often,Less often,0,0,0,0,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
27,Male,White (non-hispanic),31088,27,With other family,1,0.1,39,Some college/associate's degree,At least once a week,At least once a week,Less often,Daily,6,1,0,1,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
27,Female,Asian,11372,19,With other family,1,1,78,Four-year college,Less often,At least once a week,Less often,Daily,0,0,0,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
27,Female,White (non-hispanic),68502,4,"With spouse, significant other, and/or children",1,0.2,50,Four-year college,Less often,About once a month,Less often,At least once a week,1,1,0,5,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree
27,Female,White (non-hispanic),52402,4,"With spouse, significant other, and/or children",1,0.3,169,Some college/associate's degree,Daily,Daily,At least once a week,Daily,4,4,5,20,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
27,Female,White (non-hispanic),75201,1,"With spouse, significant other, and/or children",5+,0.4,87,Four-year college,About once a month,About once a month,Less often,Less often,0,4,5,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
27,Male,White (non-hispanic),32084,2,"With spouse, significant other, and/or children",1,,52,Some college/associate's degree,A few times a month,A few times a month,About once a month,Less often,1,1,4,0,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
27,Female,White (non-hispanic),41465,27,With other family,1,0.1,30,High school,About once a month,Less often,Less often,About once a month,8,0,2,0,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree
27,Male,White (non-hispanic),27546,1,"With spouse, significant other, and/or children",1,0.5,62,Some college/associate's degree,About once a month,At least once a week,About once a month,A few times a month,10,5,3,15,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
27,Female,White (non-hispanic),27101,5,"With spouse, significant other, and/or children",5+,0,78,Four-year college,Less often,Less often,Less often,Less often,0,1,2,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree
27,Female,White (non-hispanic),73533,6,"With spouse, significant other, and/or children",1,3.9,23,Four-year college,About once a month,At least once a week,Less often,Less often,5,2,0,0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
27,Female,White (non-hispanic),66202,19,Living alone,5+,,70,Master's or post-graduate professional degree,Less often,At least once a week,Less often,About once a month,0,3,0,0,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree
27,Female,"White (non-hispanic),Black or African American",45208,2,"With spouse, significant other, and/or children",5+,0,52,Some college/associate's degree,Less often,Less often,Less often,Less often,0,0,0,0,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
27,Female,Black or African American,20902,1,Living alone,5+,1.3,43,Some college/associate's degree,A few times a month,At least once a week,Less often,About once a month,1,0,0,0,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree
27,Male,White (non-hispanic),23434,0,"With spouse, significant other, and/or children",1,0,88,High school,A few times a month,At least once a week,A few times a month,Less often,3,0,1,0,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
26,Male,White (non-hispanic),72712,6,With other family,2,0,76,Some college/associate's degree,Daily,Daily,Less often,Less often,2,2,0,0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
26,Female,White (non-hispanic),40356,0,Living alone,1,0,80,Master's or post-graduate professional degree,At least once a week,At least once a week,Less often,Less often,2,4,2,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree
26,Male,Asian,2120,3,Living alone,1,1.5,400,Four-year college,A few times a month,A few times a month,About once a month,About once a month,2,0,0,1,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
26,Male,White (non-hispanic),89011,1,"With spouse, significant other, and/or children",1,0,99,Master's or post-graduate professional degree,At least once a week,A few times a month,At least once a week,At least once a week,4,2,3,1,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
26,Female,White (non-hispanic),45005,7,"With spouse, significant other, and/or children",1,0,30,Some college/associate's degree,A few times a month,A few times a month,Less often,Less often,0,0,4,0,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
26,Female,Hispanic,11103,1,"With spouse, significant other, and/or children",5+,0,65,Four-year college,A few times a month,A few times a month,Less often,Less often,0,0,0,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
26,Female,White (non-hispanic),24090,1,"With spouse, significant other, and/or children",1,0,69,Four-year college,About once a month,About once a month,A few times a month,A few times a month,0,2,2,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
26,Female,White (non-hispanic),24090,3,"With spouse, significant other, and/or children",1,1,61,Four-year college,A few times a month,A few times a month,About once a month,About once a month,2,2,4,0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
26,Female,Black or African American,66203,20,"With spouse, significant other, and/or children",4,0.5,60,Four-year college,At least once a week,A few times a month,A few times a month,A few times a month,8,4,10,6,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
26,Male,White (non-hispanic),32034,3,Living alone,1,0.8,78,Four-year college,A few times a month,Daily,At least once a week,At least once a week,1,5,3,6,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
