Age,Sex,Race,Zip Code,# years in Zip Code,Living Arrangement,# of housing units,Communte to school (hours),Household income,Education,How often you spend\nleisure time with family,How often you spend leisure time with friends,How often you spend leisure time with neighbors,How often you spend leisure time with coworkers,# family members you spend time with regularly within 15 minutes (driving),# friends you spend time with regularly within 15 minutes (driving),# neighbors you spend time with regularly within 15 minutes (driving),#  coworkers you spend time with regularly within 15 minutes (driving),"Level of agreement with: ""I consider myself a social person""","Level of agreement with: ""When I have free time, I generally like to spend it with other people""","Level of agreement with: ""I feel like I have a strong social circle in my geographic proximity.""","Level of agreement with: ""The place where I live has a strong sense of community""","Level of agreement with: ""I am interested in being a part of or helping build community where I live.""","Level of agreement with: ""I would be sorry to move away from the people I spend time with here."""
63,Female,White (non-hispanic),7712,2,"With spouse, significant other, and/or children",5+,0,38,High school,About once a month,Less often,At least once a week,Less often,3,1,2,0,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
63,Female,White (non-hispanic),54302,5,With roommates,1,0,21,Four-year college,Less often,Daily,At least once a week,Less often,0,4,2,0,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree
63,Female,White (non-hispanic),19040,15,"With spouse, significant other, and/or children",1,0,149,Some college/associate's degree,A few times a month,About once a month,About once a month,Less often,12,2,8,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
63,Female,White (non-hispanic),95821,8,Living alone,1,0,64,Four-year college,A few times a month,Daily,At least once a week,Less often,4,60,6,1,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree
63,Female,White (non-hispanic),55987,37,"With spouse, significant other, and/or children",1,0.2,65,Four-year college,A few times a month,About once a month,Less often,Less often,1,8,6,5,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
62,Female,White (non-hispanic),43517,39,Living alone,1,0.3,18,Four-year college,At least once a week,About once a month,Less often,Less often,4,1,3,29,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
62,Female,Asian,63005,22,"With spouse, significant other, and/or children",1,0,42,Master's or post-graduate professional degree,Less often,About once a month,Less often,Less often,3,3,1,0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
62,Female,White (non-hispanic),94510,9,"With spouse, significant other, and/or children",1,0,95,Four-year college,Less often,A few times a month,A few times a month,At least once a week,0,5,2,0,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree
62,Male,White (non-hispanic),32084,10,"With spouse, significant other, and/or children",1,1.1,125,Four-year college,Daily,At least once a week,At least once a week,Daily,1,12,15,4,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
62,Female,White (non-hispanic),16509,14,"With spouse, significant other, and/or children",1,0.3,99,Some college/associate's degree,At least once a week,A few times a month,At least once a week,Daily,4,5,2,2,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
